timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2016-03-07 01:00:00-04:00,AAPL,102.39,102.83,100.96,101.87,37519632.0,211394.0,101.907997
2016-03-08 01:00:00-04:00,AAPL,100.78,101.76,100.4,101.03,33586491.0,187694.0,101.126655
2016-03-09 01:00:00-04:00,AAPL,101.31,101.58,100.27,101.12,28955320.0,169254.0,101.002663
2016-03-10 01:00:00-04:00,AAPL,101.41,102.24,100.15,101.17,35340322.0,206150.0,101.110332
2016-03-11 01:00:00-04:00,AAPL,102.24,102.28,101.5,102.26,29800480.0,155505.0,102.003057
2016-03-14 00:00:00-04:00,AAPL,101.91,102.91,101.78,102.52,27250223.0,145487.0,102.454631
2016-03-15 00:00:00-04:00,AAPL,103.96,105.18,103.85,104.58,42504244.0,225939.0,104.6181
2016-03-16 00:00:00-04:00,AAPL,104.61,106.31,104.59,105.97,39875342.0,230350.0,105.553208
2016-03-17 00:00:00-04:00,AAPL,105.52,106.47,104.96,105.8,36576627.0,175512.0,105.792283
2016-03-18 00:00:00-04:00,AAPL,106.34,106.5,105.19,105.92,57003346.0,175071.0,106.054738
2016-03-21 00:00:00-04:00,AAPL,105.93,107.65,105.1401,105.91,36641541.0,208780.0,106.204881
2016-03-22 00:00:00-04:00,AAPL,105.25,107.29,105.21,106.72,34774761.0,174145.0,106.733686
2016-03-23 00:00:00-04:00,AAPL,106.48,107.07,105.9,106.13,27200833.0,146399.0,106.465133
2016-03-24 00:00:00-04:00,AAPL,105.47,106.25,104.89,105.67,28176646.0,143297.0,105.497396
2016-03-28 00:00:00-04:00,AAPL,106.0,106.19,105.06,105.19,21097871.0,112799.0,105.44463
2016-03-29 00:00:00-04:00,AAPL,104.89,107.79,104.88,107.68,33592200.0,175679.0,106.954829
2016-03-30 00:00:00-04:00,AAPL,108.65,110.42,108.6,109.56,47329359.0,230967.0,109.568191
2016-03-31 00:00:00-04:00,AAPL,109.72,109.9,108.88,108.99,28661454.0,135630.0,109.255358
2016-04-01 00:00:00-04:00,AAPL,108.78,110.0,108.2,109.99,28464237.0,131108.0,109.478898
2016-04-04 00:00:00-04:00,AAPL,110.42,112.19,110.27,111.12,39278053.0,208853.0,111.368041
2016-04-05 00:00:00-04:00,AAPL,109.51,110.73,109.42,109.81,27816571.0,162228.0,110.021292
2016-04-06 00:00:00-04:00,AAPL,110.23,110.98,109.2,110.96,27869318.0,150639.0,110.167512
2016-04-07 00:00:00-04:00,AAPL,109.95,110.42,108.121,108.54,33169405.0,182059.0,109.151177
2016-04-08 00:00:00-04:00,AAPL,108.91,109.77,108.17,108.66,25341763.0,147687.0,108.924274
2016-04-11 00:00:00-04:00,AAPL,108.97,110.61,108.83,109.02,30828174.0,167027.0,109.780256
2016-04-12 00:00:00-04:00,AAPL,109.34,110.5,108.66,110.44,28350785.0,166945.0,109.797133
2016-04-13 00:00:00-04:00,AAPL,110.8,112.34,110.8,112.04,34715773.0,192791.0,111.855197
2016-04-14 00:00:00-04:00,AAPL,111.62,112.39,111.33,112.1,27069703.0,142191.0,111.911964
2016-04-15 00:00:00-04:00,AAPL,112.11,112.3,109.73,109.85,51000424.0,227739.0,110.758352
2016-04-18 00:00:00-04:00,AAPL,108.89,108.95,106.94,107.48,63375588.0,281032.0,107.811889
2016-04-19 00:00:00-04:00,AAPL,107.88,108.0,106.23,106.91,34193496.0,191758.0,106.984663
2016-04-20 00:00:00-04:00,AAPL,106.64,108.09,106.06,107.13,31892738.0,167267.0,107.346995
2016-04-21 00:00:00-04:00,AAPL,106.93,106.93,105.52,105.97,32951133.0,184329.0,106.03909
2016-04-22 00:00:00-04:00,AAPL,105.01,106.48,104.62,105.68,36955237.0,193294.0,105.399883
2016-04-25 00:00:00-04:00,AAPL,105.0,105.65,104.51,105.08,29546249.0,160514.0,105.036343
2016-04-26 00:00:00-04:00,AAPL,103.91,105.3,103.91,104.35,57739159.0,312167.0,104.488139
2016-04-27 00:00:00-04:00,AAPL,96.0,98.71,95.68,97.82,120001507.0,653473.0,97.392754
2016-04-28 00:00:00-04:00,AAPL,97.61,97.88,94.25,94.83,84354912.0,473321.0,96.13991
2016-04-29 00:00:00-04:00,AAPL,93.99,94.72,92.51,93.74,72707830.0,380439.0,93.478312
2016-05-02 00:00:00-04:00,AAPL,93.965,94.08,92.4,93.64,49979374.0,270950.0,93.182511
2016-05-03 00:00:00-04:00,AAPL,94.2,95.74,93.68,95.18,59259055.0,312301.0,94.700348
2016-05-04 00:00:00-04:00,AAPL,95.2,95.9,93.82,94.19,43335456.0,225338.0,94.495585
2016-05-05 00:00:00-04:00,AAPL,94.0,94.07,92.68,93.24,38566710.0,199732.0,93.135188
2016-05-06 00:00:00-04:00,AAPL,93.37,93.45,91.85,92.72,45443287.0,233036.0,92.558778
2016-05-09 00:00:00-04:00,AAPL,93.0,93.77,92.59,92.79,35589012.0,183320.0,93.106398
2016-05-10 00:00:00-04:00,AAPL,93.33,93.57,92.11,93.42,35042421.0,194658.0,93.001579
2016-05-11 00:00:00-04:00,AAPL,93.48,93.57,92.46,92.51,30359938.0,167022.0,92.909831
2016-05-12 00:00:00-04:00,AAPL,92.72,92.78,89.47,90.34,78059725.0,432879.0,90.520475
2016-05-13 00:00:00-04:00,AAPL,90.0,91.67,90.0,90.52,46466197.0,247878.0,90.78373
2016-05-16 00:00:00-04:00,AAPL,92.39,94.39,91.65,93.88,64797882.0,341763.0,93.459218
2016-05-17 00:00:00-04:00,AAPL,94.55,94.7,93.01,93.49,50459508.0,264261.0,93.741266
2016-05-18 00:00:00-04:00,AAPL,94.16,95.21,93.89,94.56,44442591.0,241551.0,94.570495
2016-05-19 00:00:00-04:00,AAPL,94.64,94.64,93.57,94.2,31590751.0,174531.0,93.978063
2016-05-20 00:00:00-04:00,AAPL,94.64,95.43,94.52,95.22,34768389.0,171077.0,95.024552
2016-05-23 00:00:00-04:00,AAPL,95.87,97.19,95.67,96.43,40951346.0,205678.0,96.633854
2016-05-24 00:00:00-04:00,AAPL,97.22,98.09,96.84,97.9,37313741.0,199218.0,97.60488
2016-05-25 00:00:00-04:00,AAPL,98.67,99.74,98.11,99.62,41464811.0,214586.0,99.150696
2016-05-26 00:00:00-04:00,AAPL,99.68,100.73,98.64,100.41,58781264.0,211638.0,99.770122
2016-05-27 00:00:00-04:00,AAPL,99.44,100.47,99.245,100.35,38453572.0,186059.0,99.964847
2016-05-31 00:00:00-04:00,AAPL,99.6,100.4,98.82,99.86,48137192.0,198664.0,99.755941
2016-06-01 00:00:00-04:00,AAPL,99.02,99.54,98.33,98.46,30824382.0,168976.0,98.966063
2016-06-02 00:00:00-04:00,AAPL,97.6,97.84,96.63,97.72,42087281.0,221942.0,97.359766
2016-06-03 00:00:00-04:00,AAPL,97.79,98.27,97.45,97.92,30211446.0,159036.0,97.908866
2016-06-06 00:00:00-04:00,AAPL,97.99,101.89,97.55,98.63,24673071.0,138142.0,98.715082
2016-06-07 00:00:00-04:00,AAPL,99.25,99.87,98.96,99.03,24122004.0,130382.0,99.359488
2016-06-08 00:00:00-04:00,AAPL,99.02,99.56,98.68,98.94,22524809.0,120753.0,99.021692
2016-06-09 00:00:00-04:00,AAPL,98.5,99.99,98.46,99.65,27737327.0,159314.0,99.568108
2016-06-10 00:00:00-04:00,AAPL,98.53,99.3457,98.48,98.83,34099787.0,175387.0,98.891923
2016-06-13 00:00:00-04:00,AAPL,98.69,99.12,97.1,97.34,39940655.0,225985.0,97.623262
2016-06-14 00:00:00-04:00,AAPL,97.32,98.475,96.75,97.46,33422050.0,196930.0,97.434579
2016-06-15 00:00:00-04:00,AAPL,97.82,98.41,97.03,97.14,31759230.0,168203.0,97.788052
2016-06-16 00:00:00-04:00,AAPL,96.45,97.75,96.07,97.55,32477930.0,190547.0,96.918334
2016-06-17 00:00:00-04:00,AAPL,96.62,96.65,95.3,95.33,75091187.0,254000.0,95.807344
2016-06-20 00:00:00-04:00,AAPL,96.0,96.57,95.03,95.1,36298241.0,200095.0,95.875783
2016-06-21 00:00:00-04:00,AAPL,94.94,96.35,94.676,95.91,37402512.0,203069.0,95.945874
2016-06-22 00:00:00-04:00,AAPL,96.25,96.89,95.35,95.55,30829805.0,181348.0,96.027011
2016-06-23 00:00:00-04:00,AAPL,95.94,96.29,95.25,96.1,35001129.0,184293.0,95.775294
2016-06-24 00:00:00-04:00,AAPL,92.91,94.655,92.65,93.4,86950758.0,379205.0,93.560387
2016-06-27 00:00:00-04:00,AAPL,93.0,93.05,91.5,92.04,50082451.0,290000.0,92.018438
2016-06-28 00:00:00-04:00,AAPL,92.9,93.66,92.14,93.59,43368152.0,240679.0,92.935833
2016-06-29 00:00:00-04:00,AAPL,93.97,94.55,93.63,94.4,39525565.0,216405.0,94.25402
2016-06-30 00:00:00-04:00,AAPL,94.44,95.77,94.3,95.6,39991825.0,204310.0,95.288974
2016-07-01 00:00:00-04:00,AAPL,95.49,96.465,95.33,95.89,27180926.0,154544.0,95.995066
2016-07-05 00:00:00-04:00,AAPL,95.39,95.4,94.46,95.04,30590138.0,153278.0,94.848509
2016-07-06 00:00:00-04:00,AAPL,94.6,95.66,94.37,95.53,32320508.0,187589.0,95.158127
2016-07-07 00:00:00-04:00,AAPL,95.7,96.5,95.62,95.94,26759405.0,143923.0,96.051727
2016-07-08 00:00:00-04:00,AAPL,96.49,96.89,96.05,96.68,30976552.0,168615.0,96.63564
2016-07-11 00:00:00-04:00,AAPL,96.75,97.65,96.73,96.98,25631806.0,144021.0,97.218996
2016-07-12 00:00:00-04:00,AAPL,97.17,97.7,97.12,97.42,25742471.0,151233.0,97.404256
2016-07-13 00:00:00-04:00,AAPL,97.41,97.67,96.84,96.87,29344350.0,144845.0,97.116715
2016-07-14 00:00:00-04:00,AAPL,97.39,98.99,97.32,98.79,40620638.0,231503.0,98.390705
2016-07-15 00:00:00-04:00,AAPL,98.92,99.3,98.5,98.78,34439924.0,157581.0,98.87481
2016-07-18 00:00:00-04:00,AAPL,98.7,100.13,98.6,99.83,38637836.0,200052.0,99.770717
2016-07-19 00:00:00-04:00,AAPL,99.56,100.0,99.34,99.87,25517476.0,134941.0,99.797384
2016-07-20 00:00:00-04:00,AAPL,100.0,100.46,99.735,99.96,28098817.0,146681.0,99.986182
2016-07-21 00:00:00-04:00,AAPL,99.83,101.0,99.13,99.43,34391778.0,169899.0,99.922815
2016-07-22 00:00:00-04:00,AAPL,99.26,99.3,98.31,98.66,30623339.0,153246.0,98.701105
2016-07-25 00:00:00-04:00,AAPL,98.25,98.84,96.92,97.34,42375440.0,224244.0,97.678955
2016-07-26 00:00:00-04:00,AAPL,96.82,97.97,96.42,96.67,57744894.0,289094.0,97.043992
2016-07-27 00:00:00-04:00,AAPL,104.265,104.35,102.75,102.95,97251047.0,484305.0,103.521622
2016-07-28 00:00:00-04:00,AAPL,102.83,104.45,102.82,104.34,41589114.0,216198.0,103.900151
2016-07-29 00:00:00-04:00,AAPL,104.19,104.55,103.68,104.21,30683246.0,152938.0,104.125041
2016-08-01 00:00:00-04:00,AAPL,104.41,106.15,104.41,106.05,39866093.0,212310.0,105.425874
2016-08-02 00:00:00-04:00,AAPL,105.94,106.07,104.0,104.48,35389092.0,199998.0,104.77744
2016-08-03 00:00:00-04:00,AAPL,104.81,105.84,104.77,105.79,32251593.0,168034.0,105.566886
2016-08-04 00:00:00-04:00,AAPL,105.58,106.0,105.28,105.87,28597742.0,147502.0,105.725006
2016-08-05 00:00:00-04:00,AAPL,106.27,107.65,106.18,107.48,42981482.0,182023.0,107.305234
2016-08-08 00:00:00-04:00,AAPL,107.52,108.37,107.16,108.37,30743258.0,143110.0,107.933563
2016-08-09 00:00:00-04:00,AAPL,108.23,108.94,108.01,108.81,27928930.0,154393.0,108.506893
2016-08-10 00:00:00-04:00,AAPL,108.71,108.9,107.76,108.0,25084453.0,133575.0,108.164877
2016-08-11 00:00:00-04:00,AAPL,108.52,108.93,107.85,107.93,30136237.0,128936.0,108.358256
2016-08-12 00:00:00-04:00,AAPL,107.78,108.44,107.78,108.18,20114827.0,114580.0,108.121183
2016-08-15 00:00:00-04:00,AAPL,108.14,109.54,108.08,109.48,27435277.0,146988.0,109.225082
2016-08-16 00:00:00-04:00,AAPL,109.63,110.23,109.21,109.38,35709599.0,178823.0,109.729023
2016-08-17 00:00:00-04:00,AAPL,109.1,109.37,108.34,109.22,26620580.0,155183.0,108.913127
2016-08-18 00:00:00-04:00,AAPL,109.23,109.6,109.02,109.08,23211726.0,120959.0,109.291796
2016-08-19 00:00:00-04:00,AAPL,108.77,109.69,108.36,109.36,28219057.0,146659.0,109.128168
2016-08-22 00:00:00-04:00,AAPL,108.86,109.1,107.85,108.51,27458099.0,159762.0,108.484375
2016-08-23 00:00:00-04:00,AAPL,108.59,109.32,108.53,108.85,22817679.0,125051.0,108.98492
2016-08-24 00:00:00-04:00,AAPL,108.565,108.75,107.68,108.03,25451984.0,140594.0,108.141379
2016-08-25 00:00:00-04:00,AAPL,107.39,107.88,106.68,107.57,26134071.0,159114.0,107.29782
2016-08-26 00:00:00-04:00,AAPL,107.41,107.95,106.31,106.94,29394870.0,181304.0,107.105062
2016-08-29 00:00:00-04:00,AAPL,106.62,107.44,106.29,106.82,28085039.0,146776.0,106.871664
2016-08-30 00:00:00-04:00,AAPL,105.76,106.5,105.5,106.0,26468754.0,154476.0,105.984677
2016-08-31 00:00:00-04:00,AAPL,105.66,106.5699,105.64,106.1,35796553.0,152278.0,106.197456
2016-09-01 00:00:00-04:00,AAPL,106.14,106.8,105.62,106.73,28327801.0,151072.0,106.344451
2016-09-02 00:00:00-04:00,AAPL,107.7,108.0,106.82,107.73,28358467.0,149142.0,107.48727
2016-09-06 00:00:00-04:00,AAPL,107.9,108.3,107.51,107.7,30056257.0,136406.0,107.799838
2016-09-07 00:00:00-04:00,AAPL,107.83,108.76,107.07,108.36,43727103.0,240165.0,107.794695
2016-09-08 00:00:00-04:00,AAPL,107.25,107.27,105.24,105.52,55344672.0,284026.0,105.900724
2016-09-09 00:00:00-04:00,AAPL,104.64,105.72,103.13,103.13,50117076.0,275356.0,104.036174
2016-09-12 00:00:00-04:00,AAPL,102.65,105.72,102.53,105.44,48682069.0,259271.0,104.713253
2016-09-13 00:00:00-04:00,AAPL,107.51,108.79,107.24,107.95,64678815.0,337194.0,108.124071
2016-09-14 00:00:00-04:00,AAPL,108.73,113.03,108.6,111.77,115195427.0,580558.0,111.566978
2016-09-15 00:00:00-04:00,AAPL,113.86,115.73,113.49,115.57,94347039.0,461589.0,114.970598
2016-09-16 00:00:00-04:00,AAPL,115.15,116.13,114.04,114.92,97692279.0,315900.0,115.00497
2016-09-19 00:00:00-04:00,AAPL,115.19,116.18,113.25,113.58,49319118.0,242804.0,114.269202
2016-09-20 00:00:00-04:00,AAPL,113.05,114.12,112.51,113.57,36281742.0,184350.0,113.561254
2016-09-21 00:00:00-04:00,AAPL,113.85,113.989,112.441,113.55,38570286.0,186223.0,113.205403
2016-09-22 00:00:00-04:00,AAPL,114.35,114.94,114.0,114.62,32837702.0,169949.0,114.584876
2016-09-23 00:00:00-04:00,AAPL,114.42,114.79,111.55,112.71,55312928.0,283061.0,113.13244
2016-09-26 00:00:00-04:00,AAPL,111.64,113.39,111.55,112.88,32530096.0,167141.0,112.850685
2016-09-27 00:00:00-04:00,AAPL,113.0,113.18,112.34,113.09,26920242.0,138616.0,112.885727
2016-09-28 00:00:00-04:00,AAPL,113.69,114.64,113.43,113.95,31170608.0,166493.0,113.993811
2016-09-29 00:00:00-04:00,AAPL,113.16,113.8,111.8,112.18,37234662.0,211662.0,112.505297
2016-09-30 00:00:00-04:00,AAPL,112.46,113.37,111.8,113.05,41377052.0,184036.0,112.876451
2016-10-03 00:00:00-04:00,AAPL,112.71,113.05,112.28,112.52,23605365.0,131077.0,112.590116
2016-10-04 00:00:00-04:00,AAPL,113.06,114.31,112.63,113.0,30978709.0,173331.0,113.463779
2016-10-05 00:00:00-04:00,AAPL,113.4,113.66,112.69,113.05,23079428.0,127358.0,113.09856
2016-10-06 00:00:00-04:00,AAPL,113.7,114.34,113.13,113.89,30608546.0,168295.0,113.865563
2016-10-07 00:00:00-04:00,AAPL,114.31,114.56,113.51,114.06,26469641.0,134829.0,114.088901
2016-10-10 00:00:00-04:00,AAPL,115.02,116.75,114.72,116.05,38394279.0,196560.0,116.041825
2016-10-11 00:00:00-04:00,AAPL,117.7,118.69,116.2,116.3,67338386.0,322693.0,117.213742
2016-10-12 00:00:00-04:00,AAPL,117.35,117.98,116.75,117.34,39355265.0,203125.0,117.381987
2016-10-13 00:00:00-04:00,AAPL,116.79,117.44,115.72,116.98,36365030.0,201255.0,116.611037
2016-10-14 00:00:00-04:00,AAPL,117.88,118.17,117.13,117.63,38316618.0,182493.0,117.627159
2016-10-17 00:00:00-04:00,AAPL,117.33,117.84,116.78,117.55,25509197.0,135062.0,117.258228
2016-10-18 00:00:00-04:00,AAPL,118.18,118.21,117.45,117.47,26118747.0,133018.0,117.861482
2016-10-19 00:00:00-04:00,AAPL,117.25,117.76,113.8,117.12,21220611.0,124179.0,117.289218
2016-10-20 00:00:00-04:00,AAPL,116.86,117.38,116.33,117.06,25514040.0,150408.0,116.959291
2016-10-21 00:00:00-04:00,AAPL,116.81,116.91,116.28,116.6,26433324.0,121962.0,116.619809
2016-10-24 00:00:00-04:00,AAPL,117.1,117.74,117.0,117.65,25595733.0,130486.0,117.435384
2016-10-25 00:00:00-04:00,AAPL,117.96,118.36,117.31,118.25,49472654.0,257398.0,117.834991
2016-10-26 00:00:00-04:00,AAPL,114.13,115.7,113.31,115.59,69758580.0,348950.0,114.666863
2016-10-27 00:00:00-04:00,AAPL,115.325,115.86,114.1,114.48,38401921.0,153106.0,114.835135
2016-10-28 00:00:00-04:00,AAPL,113.98,115.21,113.45,113.72,38852432.0,207658.0,114.217172
2016-10-31 00:00:00-04:00,AAPL,113.6,114.23,113.2,113.54,28956539.0,137493.0,113.672994
2016-11-01 00:00:00-04:00,AAPL,113.52,113.77,110.53,111.49,46096286.0,240673.0,111.792489
2016-11-02 00:00:00-04:00,AAPL,111.245,112.35,111.23,111.59,30137835.0,165460.0,111.837846
2016-11-03 00:00:00-04:00,AAPL,110.95,111.46,109.55,109.83,28371929.0,158179.0,110.257133
2016-11-04 00:00:00-04:00,AAPL,108.52,110.25,108.11,108.84,33835045.0,177186.0,109.179014
2016-11-07 01:00:00-04:00,AAPL,110.0,110.51,109.46,110.41,36084091.0,176600.0,110.102939
2016-11-08 01:00:00-04:00,AAPL,110.28,111.72,109.7,111.06,25569303.0,145064.0,110.80887
2016-11-09 01:00:00-04:00,AAPL,109.86,111.32,108.05,110.88,62857957.0,349048.0,109.762365
2016-11-10 01:00:00-04:00,AAPL,111.09,111.09,105.83,107.79,59500204.0,374401.0,108.179477
2016-11-11 01:00:00-04:00,AAPL,107.0,108.87,106.55,108.43,36548024.0,213652.0,108.103048
2016-11-14 01:00:00-04:00,AAPL,107.76,107.809,104.08,105.71,53083533.0,303634.0,105.585419
2016-11-15 01:00:00-04:00,AAPL,106.51,107.68,106.1593,107.11,34290416.0,192016.0,107.031918
2016-11-16 01:00:00-04:00,AAPL,106.83,110.23,106.6,109.99,60385216.0,226707.0,109.198953
2016-11-17 01:00:00-04:00,AAPL,109.76,110.35,108.83,109.95,29177415.0,169944.0,109.588903
2016-11-18 01:00:00-04:00,AAPL,109.735,110.54,109.66,110.06,31306242.0,145464.0,109.989384
2016-11-21 01:00:00-04:00,AAPL,110.02,111.99,110.01,111.73,31951570.0,165488.0,111.388951
2016-11-22 01:00:00-04:00,AAPL,111.96,112.42,111.4,111.8,28094304.0,131650.0,111.846182
2016-11-23 01:00:00-04:00,AAPL,111.385,111.51,110.33,111.23,29825521.0,144675.0,110.978808
2016-11-25 01:00:00-04:00,AAPL,111.19,111.87,110.95,111.79,12614353.0,66304.0,111.492406
2016-11-28 01:00:00-04:00,AAPL,111.405,112.465,111.39,111.57,31440024.0,135096.0,111.759485
2016-11-29 01:00:00-04:00,AAPL,110.74,112.03,110.07,111.46,30642362.0,163355.0,111.158756
2016-11-30 01:00:00-04:00,AAPL,111.6,112.2,110.27,110.52,42564952.0,178896.0,110.809873
2016-12-01 01:00:00-04:00,AAPL,110.365,110.94,109.03,109.49,39879142.0,220994.0,109.811188
2016-12-02 01:00:00-04:00,AAPL,109.29,110.09,108.85,109.9,29280165.0,147371.0,109.628987
2016-12-05 01:00:00-04:00,AAPL,110.01,110.03,108.25,109.11,36969450.0,202229.0,109.160411
2016-12-06 01:00:00-04:00,AAPL,109.49,110.36,109.19,109.95,28034665.0,156036.0,109.729278
2016-12-07 01:00:00-04:00,AAPL,109.23,111.19,109.16,111.03,32828050.0,184166.0,110.384428
2016-12-08 01:00:00-04:00,AAPL,110.8,112.43,110.6,112.12,29413115.0,157686.0,111.976442
2016-12-09 01:00:00-04:00,AAPL,112.495,114.7,112.31,113.95,36591744.0,190115.0,113.872211
2016-12-12 01:00:00-04:00,AAPL,113.25,115.0,112.49,113.3,29042297.0,161920.0,113.010017
2016-12-13 01:00:00-04:00,AAPL,113.76,115.92,113.75,115.19,46240939.0,245490.0,115.249429
2016-12-14 01:00:00-04:00,AAPL,115.0,116.2,114.98,115.2,36540322.0,209028.0,115.569694
2016-12-15 01:00:00-04:00,AAPL,115.38,116.73,115.23,115.82,47280606.0,190826.0,116.044592
2016-12-16 01:00:00-04:00,AAPL,116.43,116.5,115.645,115.97,59514329.0,154092.0,116.109431
2016-12-19 01:00:00-04:00,AAPL,115.8,117.38,115.75,116.64,30527119.0,136346.0,116.739348
2016-12-20 01:00:00-04:00,AAPL,116.74,117.5,116.68,116.95,24351335.0,109212.0,117.006468
2016-12-21 01:00:00-04:00,AAPL,116.84,117.4,116.78,117.06,24972535.0,109906.0,117.073916
2016-12-22 01:00:00-04:00,AAPL,116.355,116.51,115.64,116.29,28900011.0,131202.0,116.124927
2016-12-23 01:00:00-04:00,AAPL,115.59,116.52,115.59,116.52,15370993.0,83679.0,116.314722
2016-12-27 01:00:00-04:00,AAPL,116.52,117.8,116.49,117.26,19722985.0,109162.0,117.411385
2016-12-28 01:00:00-04:00,AAPL,117.5,118.0166,116.2,116.76,22052021.0,122799.0,117.096518
2016-12-29 01:00:00-04:00,AAPL,116.47,117.1095,116.4,116.73,16228119.0,95708.0,116.699612
2016-12-30 01:00:00-04:00,AAPL,116.68,117.2,115.43,115.82,34682248.0,157971.0,115.963778
2017-01-03 01:00:00-04:00,AAPL,115.75,116.33,114.76,116.15,31713319.0,158508.0,115.645505
2017-01-04 01:00:00-04:00,AAPL,115.9,116.51,115.75,116.02,23234449.0,129948.0,116.122258
2017-01-05 01:00:00-04:00,AAPL,115.97,116.8642,115.81,116.61,23572537.0,136223.0,116.458208
2017-01-06 01:00:00-04:00,AAPL,116.75,118.16,116.47,117.91,33913959.0,177799.0,117.732691
2017-01-09 01:00:00-04:00,AAPL,118.0,119.43,117.94,118.99,36262611.0,184632.0,118.972293
